LGA_Name,Average_Median_Study_Score
Alpine,26.5
Ararat,26.0
Ballarat,29.33
Banyule,30.56
Bass Coast,29.0
Baw Baw,26.75
Bayside,32.57
Benalla,24.0
Boroondara,32.27
Brimbank,28.0
Buloke,29.6
Campaspe,25.8
Cardinia,27.83
Casey,29.0
Central Goldfields,26.0
Colac Otway,27.0
Corangamite,25.75
Darebin,27.86
East Gippsland,28.0
Frankston,28.86
Gannawarra,27.67
Glen Eira,33.38
Glenelg,26.33
Golden Plains,23.0
Greater Bendigo,28.75
Greater Dandenong,28.42
Greater Geelong,28.0
Greater Shepparton,26.5
Hepburn,29.0
Hindmarsh,23.5
Hobsons Bay,28.0
Horsham,28.67
Hume,26.58
Indigo,24.5
Kingston,30.62
Knox,29.0
Latrobe,26.25
Loddon,26.0
Macedon Ranges,29.5
Manningham,30.0
Mansfield,29.0
Maribyrnong,30.0
Maroondah,29.83
Melbourne,30.5
Melton,26.8
Merri-bek,27.29
Mildura,26.5
Mitchell,26.6
Moira,24.83
Monash,32.0
Moonee Valley,29.57
Moorabool,28.0
Mornington Peninsula,30.0
Mount Alexander,26.0
Moyne,
Murrindindi,24.5
Nillumbik,28.5
Northern Grampians,24.5
Port Phillip,30.75
Pyrenees,27.0
South Gippsland,29.5
Southern Grampians,25.67
Stonnington,34.0
Strathbogie,26.0
Surf Coast,23.0
Swan Hill,26.0
Towong,29.0
Wangaratta,26.0
Warrnambool,26.0
Wellington,27.4
West Wimmera,25.0
Whitehorse,32.4
Whittlesea,27.38
Wodonga,28.0
Wyndham,29.0
Yarra,29.2
Yarra Ranges,28.21
Yarriambiack,27.0
